country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Austria,Contemporary,305,1.6812744611653159,4.3,8193.0
Austria,Croatian,74,0.4079157709056832,4.175675675675675,1041.0
Austria,Cuban,2,0.011024750565018466,4.5,19.0
Austria,Czech,10,0.05512375282509233,4.4,236.0
Austria,Danish,3,0.0165371258475277,4.166666666666667,22.0
Austria,Deli,246,1.3560443194972713,4.3638211382113825,2356.0
Austria,Diner,594,3.2743509178104846,4.322390572390573,5475.0
Austria,Dining bars,27,0.14883413262774928,4.12962962962963,1608.0
Austria,Dutch,5,0.027561876412546166,4.2,69.0
Austria,Eastern European,44,0.24254451243040628,4.136363636363637,1133.0
Austria,Ecuadorean,1,0.005512375282509233,3.5,15.0
Austria,Egyptian,7,0.03858662697756463,3.857142857142857,82.0
Austria,Ethiopian,5,0.027561876412546166,4.3,106.0
Austria,European,9578,52.79753045587343,4.175923992482773,214198.0
Austria,Fast food,453,2.497106002976683,3.9216335540838854,7892.0
Austria,French,101,0.5567499035334326,4.326732673267327,1800.0
Austria,Fruit parlours,1,0.005512375282509233,5.0,3.0
Austria,Fujian,1,0.005512375282509233,5.0,4.0
Austria,Fusion,167,0.920566672179042,4.341317365269461,5734.0
Austria,Gastropub,363,2.000992227550852,4.169421487603306,7962.0
Austria,Georgian,2,0.011024750565018466,3.5,102.0
Austria,German,1382,7.618102640427759,4.1421852387843705,56132.0
Austria,Greek,189,1.041838928394245,4.076719576719577,3402.0
Austria,Grill,435,2.3978832478915164,4.268965517241379,10256.0
Austria,Hawaiian,11,0.06063612810760157,4.136363636363637,34.0
Austria,Healthy,300,1.65371258475277,4.401666666666666,9772.0
Austria,Hungarian,33,0.1819083843228047,4.363636363636363,739.0
Austria,Indian,150,0.826856292376385,4.173333333333333,7844.0
Austria,Indonesian,6,0.0330742516950554,4.166666666666667,23.0
Austria,International,1098,6.052588060195138,4.210837887067395,36896.0
Austria,Irish,18,0.0992227550851662,4.25,919.0
Austria,Israeli,23,0.12678463149771235,4.065217391304348,1307.0
Austria,Italian,1845,10.170332396229535,4.0262872628726285,39928.0
Austria,Japanese,273,1.5048784521250207,4.062271062271062,5086.0
Austria,Japanese Fusion,9,0.0496113775425831,4.555555555555555,47.0
Austria,Kappo,1,0.005512375282509233,4.5,4.0
Austria,Korean,47,0.25908163827793396,4.26595744680851,825.0
Austria,Latin,36,0.1984455101703324,4.208333333333333,1037.0
Austria,Lazio,5,0.027561876412546166,4.4,574.0
Austria,Lebanese,17,0.09371037980265697,4.323529411764706,228.0
Austria,Ligurian,1,0.005512375282509233,4.0,20.0
Austria,Malaysian,4,0.022049501130036932,3.75,50.0
Austria,Medicinal foods,6,0.0330742516950554,4.833333333333333,22.0
Austria,Mediterranean,1126,6.206934568105397,4.113676731793961,33125.0
Austria,Mexican,105,0.5787994046634695,4.0095238095238095,1982.0
Austria,Middle Eastern,174,0.9591532991566065,4.155172413793103,3635.0
Austria,Mongolian,10,0.05512375282509233,3.85,73.0
Austria,Moroccan,11,0.06063612810760157,4.181818181818182,139.0
Austria,Native American,1,0.005512375282509233,4.0,18.0
Austria,Neapolitan,27,0.14883413262774928,4.2592592592592595,1289.0
Austria,Nepalese,9,0.0496113775425831,4.555555555555555,407.0
Austria,New Zealand,1,0.005512375282509233,4.5,16.0
Austria,Northern-Italian,10,0.05512375282509233,4.35,275.0
Austria,Norwegian,1,0.005512375282509233,5.0,4.0
Austria,Not specified,2946,16.239457582272202,4.131194840461643,26003.0
Austria,Pakistani,9,0.0496113775425831,4.277777777777778,337.0
Austria,Persian,26,0.14332175734524005,4.0576923076923075,457.0
Austria,Peruvian,7,0.03858662697756463,4.142857142857143,181.0
Austria,Philippine,3,0.0165371258475277,3.8333333333333335,30.0
Austria,Pizza,1359,7.4913180089300475,3.944076526857984,27536.0
Austria,Polish,11,0.06063612810760157,4.2272727272727275,93.0
Austria,Portuguese,8,0.044099002260073863,4.5625,136.0
Austria,Pub,905,4.9886996306708555,4.2,14518.0
Austria,Romana,5,0.027561876412546166,4.4,574.0
Austria,Romanian,3,0.0165371258475277,4.5,36.0
Austria,Russian,10,0.05512375282509233,4.25,112.0
Austria,Salvadoran,1,0.005512375282509233,4.5,5.0
Austria,Sardinian,3,0.0165371258475277,4.666666666666667,58.0
Austria,Scandinavian,5,0.027561876412546166,4.4,45.0
Austria,Scottish,3,0.0165371258475277,4.333333333333333,30.0
Austria,Seafood,359,1.9789427264208146,4.229805013927576,7949.0
Austria,Shojin,1,0.005512375282509233,4.5,4.0
Austria,Sicilian,12,0.0661485033901108,4.25,1221.0
Austria,Slovenian,9,0.0496113775425831,3.611111111111111,20.0
Austria,Soups,231,1.273358690259633,4.313852813852814,11141.0
Austria,South American,48,0.2645940135604432,4.197916666666667,466.0
Austria,Southern-Italian,57,0.3142053911030263,4.298245614035087,2344.0
Austria,Southwestern,7,0.03858662697756463,3.7857142857142856,121.0
Austria,Spanish,87,0.47957664957830326,4.258620689655173,1652.0
